Subconjunto,Variable,Estadístico,Valor Crítico,Conclusión
Completo,CRP_CC.EST,22.31366952866466,0.78,No Normal
Completo,CRP_GE.EST,15.094401058770814,0.78,No Normal
Completo,CRP_PV.EST,1.5797372358833854,0.78,No Normal
Completo,CRP_RL.EST,20.925600390913587,0.78,No Normal
Completo,CRP_RQ.EST,5.742888733965515,0.78,No Normal
Completo,CRP_VA.EST,10.59457871900986,0.78,No Normal
Completo,GDE_SL.GDP.PCAP.EM.KD,18.257533940700114,0.78,No Normal
Colombia,CRP_CC.EST,0.218618731710837,0.699,Normal
Colombia,CRP_GE.EST,0.5705813965503559,0.699,Normal
Colombia,CRP_PV.EST,0.37701131174415536,0.699,Normal
Colombia,CRP_RL.EST,0.7512023055538002,0.699,No Normal
Colombia,CRP_RQ.EST,0.5695592607023521,0.699,Normal
Colombia,CRP_VA.EST,0.378241507855158,0.699,Normal
Colombia,GDE_SL.GDP.PCAP.EM.KD,0.2517964860998134,0.699,Normal
